,Serangoon,Tuas,CBD,Buona,Paya Lebar,CCK,Jurong,Tampines,Town,Punggol,Woodlands,Tiong Bahru,Bishan,Toa Payoh,Bishan->Serangoon,Serangoon->Bishan,Bishan->Woodlands,Woodlands->Bishan,Bishan->Toa Payoh,Toa Payoh->Bishan,Bishan->Buona,Buona->Bishan,Woodlands->CCK,CCK->Woodlands,CCK->Jurong,Jurong->CCK,Jurong->Tuas,Tuas->Jurong,Jurong->Buona,Buona->Jurong,Tiong Bahru->Serangoon,Serangoon->Tiong Bahru,Serangoon->Punggol,Punggol->Serangoon,Toa Payoh->Town,Town->Toa Payoh,Town->CBD,CBD->Town,Serangoon->Paya Lebar,Paya Lebar->Serangoon,CBD->Paya Lebar,Paya Lebar->CBD,Paya Lebar->Tampines,Tampines->Paya Lebar,Buona->Tiong Bahru,Tiong Bahru->Buona
2020-01-01 09:35:00,281,226,1144,693,256,225,695,373,752,326,348,668,528,339,0,0,0,1036,0,0,840,43,0,0,5,0,3,0,4,57,0,25,3,0,121,0,54,21,10,0,0,906,18,0,0,0
2020-01-01 09:40:00,298,227,1332,849,250,224,734,384,832,326,348,676,369,369,0,0,0,1036,0,0,680,4,0,1,2,0,3,0,1,28,0,23,3,0,132,0,62,5,12,1,0,772,17,0,0,0
2020-01-01 09:45:00,298,228,1537,885,253,224,756,391,896,329,348,680,446,313,0,0,0,849,0,0,605,1,0,1,0,0,2,0,0,48,0,25,4,0,147,0,73,12,13,0,0,618,18,0,0,0
2020-01-01 09:50:00,311,229,1753,970,260,224,764,401,970,329,349,685,387,314,0,0,0,757,0,0,486,0,0,0,0,0,1,0,0,74,0,27,4,0,119,0,85,8,12,0,0,468,13,0,0,0
2020-01-01 09:55:00,310,230,2061,1099,265,224,804,409,1005,333,349,693,429,298,0,0,0,592,0,0,336,0,0,0,0,0,0,0,0,56,0,26,0,0,120,0,92,5,12,0,0,240,12,0,0,0
2020-01-01 10:00:00,303,230,2367,1297,270,224,837,414,1046,333,349,699,455,315,0,0,0,424,0,0,107,0,0,0,0,0,1,0,0,53,0,29,2,0,112,0,84,5,9,0,0,21,14,0,0,0
2020-01-01 10:05:00,307,230,2469,1339,272,224,859,421,1082,333,349,705,556,331,0,0,0,169,0,0,31,0,0,0,0,0,1,0,0,65,0,26,3,0,120,0,81,2,10,0,0,1,14,0,0,0
2020-01-01 10:10:00,321,230,2551,1351,275,224,890,428,1126,335,349,712,517,377,0,0,0,5,0,0,4,0,0,0,0,0,1,0,0,49,0,20,4,0,128,0,78,0,11,0,0,0,14,0,0,0
2020-01-01 10:15:00,347,231,2629,1350,279,224,924,435,1163,336,349,719,342,359,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,0,15,4,0,151,0,91,0,18,0,0,0,14,0,0,0
2020-01-01 10:20:00,342,231,2720,1351,293,224,939,442,1219,339,349,728,250,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,3,0,142,0,95,0,18,0,0,0,11,0,0,0
2020-01-01 10:25:00,331,231,2815,1351,304,224,943,449,1266,340,349,731,207,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,108,0,95,0,15,0,0,0,11,0,0,0
2020-01-01 10:30:00,323,231,2910,1351,313,224,943,453,1277,342,349,732,183,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,72,0,97,0,9,0,0,0,13,0,0,0
2020-01-01 10:35:00,320,231,3007,1351,320,224,943,460,1277,343,349,734,172,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,47,0,72,0,5,0,0,0,8,0,0,0
2020-01-01 10:40:00,319,231,3079,1351,323,224,943,466,1271,344,349,738,168,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,28,0,53,0,0,0,0,0,4,0,0,0
2020-01-01 10:45:00,319,231,3132,1351,322,224,943,468,1267,344,349,740,167,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,32,0,0,0,0,0,3,0,0,0
2020-01-01 10:50:00,319,231,3164,1351,322,224,943,470,1264,345,349,740,166,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,19,0,0,0,0,0,1,0,0,0
2020-01-01 10:55:00,319,231,3183,1351,322,224,943,471,1260,345,349,740,166,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0
2020-01-01 11:00:00,319,231,3195,1351,322,224,943,471,1259,345,349,740,166,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0
2020-01-01 11:05:00,319,231,3201,1351,322,224,943,471,1257,345,349,740,166,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
2020-01-01 11:10:00,319,231,3205,1351,322,224,943,471,1257,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2020-01-01 11:15:00,319,231,3206,1351,322,224,943,471,1257,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-01 11:20:00,319,231,3207,1351,322,224,943,471,1256,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-01-01 11:25:00,319,231,3208,1351,322,224,943,471,1256,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 11:30:00,319,231,3208,1351,322,224,943,471,1256,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 11:35:00,319,231,3208,1351,322,224,943,471,1256,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 11:40:00,319,231,3208,1351,322,224,943,471,1256,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 11:45:00,319,231,3208,1351,322,224,943,471,1256,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 11:50:00,319,231,3208,1351,322,224,943,471,1256,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 11:55:00,319,231,3208,1351,322,224,943,471,1256,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 12:00:00,319,231,3208,1351,322,224,943,471,1256,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 12:05:00,319,231,3208,1351,322,224,943,471,1256,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 12:10:00,319,231,3208,1351,322,224,943,471,1256,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 12:15:00,319,231,3208,1351,322,224,943,471,1256,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 12:20:00,319,231,3208,1351,322,224,943,471,1256,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 12:25:00,319,231,3208,1351,322,224,943,471,1256,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 12:30:00,319,231,3208,1351,322,224,943,471,1256,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 12:35:00,319,231,3208,1351,322,224,943,471,1256,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 12:40:00,319,231,3208,1351,322,224,943,471,1256,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 12:45:00,319,231,3208,1351,322,224,943,471,1256,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 12:50:00,319,231,3208,1351,322,224,943,471,1256,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 12:55:00,319,231,3208,1351,322,224,943,471,1256,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 13:00:00,319,231,3208,1351,322,224,943,471,1256,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 13:05:00,319,231,3208,1351,322,224,943,471,1256,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 13:10:00,319,231,3208,1351,322,224,943,471,1256,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 13:15:00,319,231,3208,1351,322,224,943,471,1256,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 13:20:00,319,231,3208,1351,322,224,943,471,1256,345,349,740,166,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 13:25:00,292,196,3208,1334,284,169,916,427,1250,270,277,720,182,55,0,0,7,50,0,0,7,8,22,43,12,8,3,35,16,8,11,3,7,75,0,5,1,0,7,33,0,1,4,44,1,9
2020-01-01 13:30:00,322,185,3209,1338,277,154,906,418,1247,248,256,712,166,53,0,0,17,65,0,0,12,10,28,54,16,11,4,46,22,10,14,3,14,97,1,3,0,0,3,12,0,1,6,53,1,6
2020-01-01 13:35:00,390,184,3209,1356,320,183,925,419,1248,253,295,713,168,52,0,0,25,67,0,0,15,10,8,11,5,3,4,47,7,6,14,5,12,24,0,0,0,0,3,1,1,0,5,12,0,0
2020-01-01 13:40:00,341,159,3208,1332,282,133,933,377,1242,197,222,698,205,34,0,0,42,125,0,0,23,23,28,43,17,9,6,40,20,21,24,9,18,65,0,6,0,1,11,42,1,3,8,47,0,5
2020-01-01 13:45:00,355,148,3208,1328,270,110,915,362,1239,178,191,694,243,34,0,0,62,108,0,0,30,27,31,61,23,19,9,41,39,22,18,9,19,87,2,3,1,0,15,25,0,4,6,62,0,2
2020-01-01 13:50:00,420,145,3212,1340,313,135,927,362,1240,188,232,691,233,37,0,0,74,101,0,0,35,29,9,23,12,20,13,43,28,14,17,12,14,27,0,0,1,0,10,11,0,1,6,23,1,1
2020-01-01 13:55:00,372,128,3210,1334,286,99,919,338,1236,142,182,685,240,34,0,0,90,148,0,0,45,47,31,35,26,26,19,37,29,21,21,19,22,55,2,3,1,1,19,44,3,3,13,30,0,5
2020-01-01 14:00:00,368,121,3208,1328,270,82,906,330,1236,124,159,684,283,41,0,0,109,121,0,0,49,49,41,51,31,32,17,36,42,19,15,20,21,78,3,1,2,2,22,30,4,5,16,38,5,1
2020-01-01 14:05:00,421,119,3211,1343,292,105,912,331,1240,125,190,689,281,42,0,0,113,104,0,0,50,46,24,35,16,27,21,39,32,16,13,20,22,39,5,0,1,1,12,19,2,3,16,20,3,0
2020-01-01 14:10:00,417,127,3211,1348,283,115,922,335,1244,125,203,693,256,46,0,0,110,113,0,0,59,55,23,27,13,20,17,20,24,21,13,22,36,20,3,2,0,2,17,23,2,1,20,11,1,0
2020-01-01 14:15:00,396,127,3209,1347,283,118,913,341,1249,137,213,702,287,49,0,0,117,80,0,0,61,48,25,22,16,21,23,11,28,22,10,19,36,10,2,0,0,2,27,18,2,0,19,6,4,0
2020-01-01 14:20:00,395,134,3207,1348,296,126,912,352,1253,156,241,711,287,53,0,0,110,60,0,0,59,46,22,16,16,24,22,6,22,19,6,16,32,5,1,0,0,2,13,9,1,0,17,3,2,0
2020-01-01 14:25:00,380,141,3206,1360,291,142,913,359,1256,170,262,716,257,58,0,0,98,51,0,0,59,45,22,13,9,19,23,3,13,18,3,18,40,3,2,0,0,0,16,8,1,0,23,1,1,0
